NO3_N_py,NH4_N,SRP,DP,bulk_NO3_N_py,bulk_NH4_N,bulk_SRP,bulk_DP,NO3_rate,NH4_rate,SRP_rate,DP_rate,rock_ID
388.19,192.14,133.3,136.4,387.33,416.94,320.3,323.82,-0.33075686423258976,86.45830590637792,71.92038792034106,72.08192034240814,88
377.79,124.94,72.1,75.75,387.33,416.94,320.3,323.82,1.6504158868429089,50.515874104625915,42.93849298893203,42.91600304498134,89
402.94,163.25,81.2,85.39,387.33,416.94,320.3,323.82,-2.250660854097649,36.57720384856067,34.47360731676794,34.37700624231275,90
376.05,147.71,76.19,80.11,387.33,416.94,320.3,323.82,1.8982734882973753,45.30781660055884,41.08045578264836,41.013141119942766,91
382.99,130.63,88.93,92.86,387.33,416.94,320.3,323.82,0.604820104774866,39.90001018389237,32.243600839115565,32.186463455945585,92
376.05,125.6,90.07,97.52,387.33,416.94,320.3,323.82,1.5517914804831692,40.07969236914607,31.67277948152846,31.132128726360115,93
358.71,51.89,44.79,51.18,387.33,416.94,320.3,323.82,2.0378653491688805,25.993107816705088,19.61748016595102,19.413123997114024,94
392.53,162.57,85.52,89.44,387.33,416.94,320.3,323.82,-0.859921339465891,42.065036753834455,38.825448476885065,38.75930068154153,95
398.6,158.87,54.09,58.95,387.33,416.94,320.3,323.82,-1.6050689503874191,36.75422750900442,37.913523095176,37.72268082423374,96
324.95,58.44,43.85,43.22,376.76,438.69,325.74,332.08,3.0927005061741757,22.69830857889848,16.82689337358499,17.24295441446579,97
346.81,52.77,34.93,32.62,376.76,438.69,325.74,332.08,1.434602998453526,18.48554220912137,13.929779565284477,14.344113987208448,98
354.91,124.06,78.83,79.69,376.76,438.69,325.74,332.08,1.4304677193156492,20.598080481843635,16.164612566417734,16.523375179774703,99
335.48,89.4,75.4,78.13,376.76,438.69,325.74,332.08,3.3431054088755086,28.28762810722207,20.274055427759095,20.566415178874415,100
349.24,156.33,119.29,120.84,376.76,438.69,325.74,332.08,2.4143213958741088,24.771358624237426,18.111796954150076,18.532022226179038,101
349.24,97.46,65.11,64.11,376.76,438.69,325.74,332.08,2.051276764991144,25.434490207773568,19.426753752167233,19.973860273062396,102
354.91,110.11,82.25,79.69,376.76,438.69,325.74,332.08,1.6771507404191428,25.22096980718182,18.68967660341683,19.37281809493767,103
348.43,128.86,62.36,60.05,376.76,438.69,325.74,332.08,2.1041373669535566,23.011820699019438,19.561867268204306,20.204323612155886,104
349.24,102.26,64.42,64.42,376.76,438.69,325.74,332.08,1.3797764339388263,16.867666630452025,13.101859655410406,13.419729662357067,105
354.91,140.41,90.49,93.41,376.76,438.69,325.74,332.08,1.9859831897365445,27.111170061080887,21.38226752336489,21.69311706610626,106
362.19,81.85,83.63,83.75,376.76,438.69,325.74,332.08,1.4090155239541187,34.50879200877062,23.4136409405993,24.015156147119175,107
329,142.81,92.54,93.1,376.76,438.69,325.74,332.08,2.7863155945603317,17.261621819901823,13.604874301747687,13.942079162228396,108
373.53,86.78,50.02,54.44,376.76,438.69,325.74,332.08,0.18715888060324268,20.391046957611998,15.976299244559067,16.08755158225511,109
317.67,30.32,30.81,33.56,376.76,438.69,325.74,332.08,2.918849978857459,20.172123301168067,14.568563619299894,14.745897710078339,110
303.9,50.81,36.3,37.92,376.76,438.69,325.74,332.08,2.240258492191437,11.926317100620563,8.899539088387172,9.044667006080605,111
350.86,38.6,35.62,41.35,376.76,438.69,325.74,332.08,1.4985596531883134,23.14898577776497,16.786182493551888,16.821476755654004,112
327.52,205.2,131.71,135.85,362.43,408.12,315.7,329.58,5.505412961727036,32.00109991961184,29.015781461706002,30.55180902536173,113
342.85,204.55,141.53,147.99,362.43,408.12,315.7,329.58,4.012648051630346,41.71883370124567,35.693713542005,37.214339106003834,114
303.68,147.04,94.05,97.89,362.43,408.12,315.7,329.58,4.254915554244172,18.908482602588403,16.05280055486333,16.77993846404821,115
314.75,165.78,99.3,105.67,362.43,408.12,315.7,329.58,3.1754675401158177,16.13974000989235,14.412147140961887,14.912309918358485,116
356.47,194.21,108.43,112.83,362.43,408.12,315.7,329.58,0.7598440450845174,27.27151672550833,26.42497906454168,27.633590062427803,117
287.51,99.44,93.59,102.87,362.43,408.12,315.7,329.58,4.367370999910562,17.99412814004794,12.94763444727889,13.21578589681958,118
