7530-426576
OS REV: 1.03 Sensor Cal: 1526022000
Time (sec),  Bat (Volts),   T (deg C),  PAR (umol/(s m^2))  Ax (g), Ay (g), Az (g)
1595269005, +3.52, +26.284,  +0.04860,  -0.640,  +0.967,  -0.205
1595269010, +3.52, +26.317,  -0.46144,  -0.641,  +0.943,  -0.144
1595269015, +3.52, +26.325,  +1.06869,  -0.642,  +0.972,  -0.202
1595269020, +3.52, +26.333,  -0.10741,  -0.644,  +0.968,  -0.197
1595269025, +3.52, +26.342,  +0.47764,  -0.640,  +0.936,  -0.141
1595269030, +3.52, +26.350,  -0.35043,  -0.634,  +0.975,  -0.209
1595269035, +3.52, +26.375,  +0.12661,  -0.637,  +0.966,  -0.193
1595269040, +3.52, +26.383,  +0.71166,  -0.640,  +0.935,  -0.154
1595269045, +3.52, +26.383,  -0.24842,  -0.637,  +0.975,  -0.207
1595269050, +3.52, +26.416,  -0.12541,  -0.637,  +0.976,  -0.201
1595269055, +3.52, +26.408,  -0.55145,  -0.637,  +0.935,  -0.151
1595269060, +3.52, +26.433,  -0.30243,  -0.644,  +0.971,  -0.208
1595269065, +3.52, +26.458,  -0.45844,  -0.636,  +0.974,  -0.207
1595269070, +3.52, +26.458,  -0.03840,  -0.641,  +0.940,  -0.143
1595269075, +3.52, +26.458,  -0.83047,  -0.641,  +0.969,  -0.208
1595269080, +3.52, +26.483,  -0.43444,  -0.641,  +0.951,  -0.164
1595269085, +3.52, +26.491,  -0.96848,  -0.642,  +0.967,  -0.196
1595269090, +3.52, +26.516,  +0.81967,  -0.640,  +0.939,  -0.146
1595269095, +3.52, +26.541,  +0.17162,  -0.644,  +0.974,  -0.212
1595269100, +3.52, +26.541,  -1.31652,  -0.637,  +0.972,  -0.212
1595269105, +3.52, +26.549,  +0.35763,  -0.637,  +0.940,  -0.156
1595269110, +3.52, +26.532,  -0.34143,  -0.639,  +0.955,  -0.204
1595269115, +3.52, +26.574,  -0.79447,  -0.640,  +0.967,  -0.208
